Annual_Income_USD,Spending_Score
57450,55
47926,56
59715,36
72845,54
46487,55
46487,35
73688,87
61511,59
42957,26
58138,63
43048,30
43014,65
53629,73
21300,33
24126,69
41565,58
34807,66
54713,87
36379,45
28815,34
71984,32
46613,33
51012,48
28628,56
41834,55
51663,66
32735,50
55635,79
40990,44
45624,104
40974,62
77784,32
49797,28
34134,59
62338,45
31687,64
53132,59
20604,48
30077,33
52952,19
61076,41
52570,67
48265,54
45483,25
27822,53
39202,57
43090,32
65856,53
55154,51
23554,27
54861,57
44223,61
39846,71
59175,71
65464,22
63969,31
37411,60
45361,60
54968,60
64633,127
42812,61
47215,72
33404,69
32056,63
62187,43
70343,65
48919,34
65052,45
55424,40
40323,51
55420,96
73070,12
49462,63
73469,17
10703,40
62328,71
51305,51
45514,28
51376,35
20186,63
46704,35
55356,54
72168,50
42225,36
37872,92
42473,62
63731,9
54931,53
42053,36
57699,67
51456,34
64529,47
39469,60
45085,67
44118,25
28047,43
54441,40
53915,36
50076,85
46481,58
28769,24
43690,68
44859,92
37965,70
47580,19
56060,40
78292,75
52618,35
53863,58
48883,65
21218,31
49602,48
50903,-14
86948,29
47114,44
54523,25
49479,82
32469,21
67142,41
61278,52
61865,78
36359,21
71041,73
28972,50
58802,30
82856,59
35141,53
41505,37
51494,51
42447,42
26740,52
51028,63
34065,81
57103,25
36208,92
73249,10
38251,46
45169,61
62202,55
31537,37
53411,45
69607,40
25887,38
52769,66
53898,57
61727,36
31445,67
30193,56
57829,66
54454,62
