House_Size_SQFT,Price_USD
1660,244483
2094,285133
1930,294014
1895,280847
2438,444705
2969,414597
1266,166438
2038,318418
1130,195681
2282,410916
2935,488937
930,164211
2485,381541
1569,262248
2315,328940
2015,292765
1755,218777
1984,290734
1259,217729
821,116859
1547,208828
1274,180306
1882,304022
2847,419377
1775,291747
2606,351560
989,122240
1362,189100
2699,365551
2067,398359
2328,316312
1446,244346
2868,410218
2097,299136
1400,219039
2861,385394
1041,136267
2841,421755
2163,299069
2939,416175
2190,361101
2278,371849
1575,222997
834,122575
2755,450360
2385,314955
1821,283290
1929,348587
2300,403951
1502,167102
2379,333971
961,149209
1001,110493
2781,397102
1795,265131
1615,284289
1255,186887
2075,317758
1816,287772
1137,186854
1678,252542
1876,245487
1591,262340
1563,247394
1179,143947
1292,173330
1980,323625
2862,447464
864,107991
2167,316951
1952,288496
2827,442560
2295,381718
1962,296269
2322,383376
1191,204849
2498,380869
1218,139395
1178,145868
2596,411637
2888,381884
2982,450869
1000,180014
2663,404022
1579,218808
1302,169901
2551,407134
1604,254751
2946,433335
2695,436208
2370,381119
1760,317657
2285,359756
1828,269264
1302,191010
1197,121512
1670,255019
1192,178328
1006,110997
1838,274941
